word,meaning
pulan,pool
pulnev,pull off
pulprax,pulp
pumag,pumice
purfet,perforate
purgtor,purgatory
purplaks,perplex
purport,purport
purpoz,purpose
purved,pervade
pusat,pus
puston,thump
puveks,vex
qizlan,quiz
raC,rhythm
raCaC,drizzle
raCik,velocity
raCor,rather
rabat,rabbit
rabor,rob
racon,wrath
radex,radish
radket,eradicate
radud,shallow (depth)
rafad,rife
rafak,raisard
rafal,mist
rafol,ruffle
raforC,rough
raj,range
rajis,registry
rak,rock
rakan,bow
rakat,rocket
rakav,rot
raket,racket (tool)
rakib,perpetrate
raknid,arachnid
rakxik,guard
ralan,interview
ralas,rile
ralget,relegate
ralik,rally
rambol,ramble
rambus,rhombus
ramos,trample
ramped,romp
randam,random
randin,rind
ransak,ransack
rantxog,runt
ranz,ram
ranzaq,grime
rap,wrap
rapal,repeal
rapax,rap
raped,pad
rapket,replicate
raprik,wrap up
raptor,raptor
rapxar,rupture
raqgol,ring (shape)
raror,roar
ras,in
rasak,moisture
rasat,furnish
rasif,hover
rasik,mash
rasis,spray
rasit,rice
raspod,rasp
rast,rest (remainder)
raston,rust
rasul,messenger
rataq,cart
ratfan,ratify
ratik,fascinate
ratit,tremble
raton,rat
ratrik,rhetoric
rattus,rattus
ratx,vowel a sound
ratxap,rite
ratzid,flicker
ravaj,ravish
ravak,profut
raveld,revile
raxam,crime
raxnal,rational
razaj,rouse
razdun,residue
razin,resin
raznants,resonance
razom,rhizome
reC,progress
reCin,rage
reCur,irrational (number)
rebal,rebel
recas,recess
red,red
redak,irradiate
redet,radiate
redid,raid
redin,ready
redjan,radian (measurement)
regan,rag
regin,reign
reglar,regular
rejast,register
rekac,wreck
rekiv,ingredient
reknaz,recognize
rekzit,prerequisite
relard,reward
relif,relief
relij,religion
reliq,rail
remit,remit
renan,wren (bird)
rendan,grace
rendur,render
reniq,rein
renix,ray
renmen,folk
renmin,citizen
renzen,earnest
repub,republican
reput,reputation
reqgal,wrangle
resit,race
resov,street
restrant,restaurant
ret,after
retiq,rate
retxiq,enthusiasm
revav,lot (amount)
reven,revenue
revil,rival
rexin,zeal
rezal,wrestle
reziq,raise
rezor,razor (tool)
rezrak,resurrect
riCak,sway
rib,ribbit
ribac,intermediate
ribar,rebar
ribit,interest (banking)
ribon,rule (control)
ribrak,rib
ribuk,rebuke
ric,straight
ridaq,rid
ridim,redeem
ridjan,region
ridjos,rejoice
ridjum,frank
ridol,riddle
ridrak,redirect
ridun,redo
rifan,refine
rifand,refund
riflon,reef
rifom,reform
rifrax,refresh
rifren,refrain
rifruf,flutter
riftor,rift
rifut,refute
rifuz,refuse
rigal,wriggle
rigan,rig
rigard,regard
rigiv,clod of earth
rijon,origin
rik,up
rikap,recap
rikar,require
riklan,recline
riklus,recluse
rikol,recoil
rikrut,recruit
rikup,recoup
rikur,recur
rikuz,concentration
rikxam,reaction
ril,relation
rilaks,relax
riland,rewind
rilant,relent
rilaps,relapse
rilen,relay
rilet,relate
rilik,calendar
rilis,release
rilot,riot
rilz,reel
rimark,remark
rimaz,revise
rimen,remain
rimot,remote (distance)
rimuv,remove
rimzat,rim
rinants,renounce
rineg,renege
rinos,rhinoceros
rints,rinse
rinul,renew
rinxiq,ductile
rip,rich
ripals,repulse
ripant,repent
ripar,repair
ripas,fault
riplab,republic
ripol,ripple
riport,report
ripraz,reap
ripriv,reprieve
riprom,rip
riprotx,reproach
riput,repute
riqgov,wring
riqkol,wrinkle
riqoq,artificial
rirandj,rearrange
ririk,rear
risand,rescind
risat,reset
risax,purchase
risid,recede
risis,sliver
risors,resource
risortx,research
risorz,rehearse
rispand,respond
ristik,restrict
risux,asset
ritar,retire
ritort,retort
ritrak,retract
ritx,ring (math)
ritxam,reach
ritxardj,recharge
ritxas,righteous
ritzpan,floor
riv,to/arrive
rivalv,revolve
rivamp,revamp
rivat,rivet
rivav,revive
rivok,revoke
rivort,revert
rivun,review
rixet,net
rixum,record
rixut,permission
riz,rise
rizent,resent
rizod,reside
rizum,resume
robas,robust
roblan,robe
rodan,dictator
rog,thirteen
rol,cycle
romar,roam
ronald,row (boat)
roqik,apt
rot,FALSE
rotet,rotate
rotiv,sauce
rotras,rote
roxam,impression
rubaqk,bank (river)
rubor,rubber
rufran,roof
rugrat,rug
ruk,location
rukmin,radiant
rul,rule (in system)
rulin,ruin
rumag,room
rumnant,ruminant
rumnet,ruminate
rumor,rumor
run,glyph
rup,right (time)
rupaq,outward appearance
rutin,routine
rutrac,root
rutxiq,route
rutz,race (event)
ruzas,ruse
ruzot,slim
sabam,polite
sabat,mackerel
sabdiv,subdivide
sabdjak,subject
sabir,patient
sabit,swab
sabmis,submissive
sabmordj,submerge
sabon,soap
sabrag,sob
sabsad,subside
sabsid,subsidy
sabtut,substitute
sabzum,subsume
sadal,saddle
sadan,sudden
sadir,tidy
sadjad,bow down in respect
sadjam,equipment
sadjest,suggest
sadlan,sideline
sadran,steward
safar,sapphire
safiks,suffix
safix,sufficient
safket,suffocate
safran,saffron
safsal,bench
safsir,speculate
saft,soft
saget,segregate
sagsig,prosper
saket,socket
sakik,psychic
sakin,blade
saklud,seclude
sakoj,psychology
sakon,sack
sakort,saw (cut)
sakran,intrigue
sakrit,secrete
saksid,succeed (come next)
saksin,spectate
sakul,succulent
salbret,celebrate
saldom,seldom
salet,insulate
salig,swell
salin,silly
salk,circle
salken,silk
saloq,swallow
salos,cellulose
salriq,salary
saltak,salt
saltir,solitary
salvant,solvent
salvex,salvation
salvidj,salvage
sam,sound
samlar,shock
samolt,simultaneous
samon,summon
samor,summer
samriq,summary
samsar,course
samtan,wholesome
san,sun
sanditx,sandwich
sanov,swallow (bird)
sanrik,sign up
sansiv,sensitive
santig,scent
santman,sentiment
santor,saunter
sants,since
sanzaq,bulk
sap,present (now)
sapak,supplier
sapar,barber
saplan,supply
saport,support
sapoz,suppose
sapraz,surprise
sapres,suppress
sapud,meal
saqkat,suspect
sar,surf
saras,potent
sardan,sardonic
sariq,sorry
sarit,tape
sarkast,sarcasm
sarl,swirl
sarned,serenade
sarpam,creep
sart,certain
sarvan,entire
sarvom,swerve
sasaC,hone
sasib,associate
saskrab,subscribe
sasnet,assassinate
saspend,suspend
sat,sight
satam,sincere
satol,subtle
satras,saturn
sav,silver
savadj,savage
savan,savanna
savant,savant
savral,several
savurt,subvert
sazan,size
seban,say
sedar,cedar
sedjun,sage (plant)
sedmant,sediment
sef,continue
sefgard,safeguard
segmint,segment
sek,percept
sekrad,sacred
sekut,execute
sekxam,section
seman,partial (semi-)
sembal,resemble
semnar,seminar
senat,senate
senir,sane
sentants,sentence (ruling)
sentsur,censor
sentxet,accentuate
senxant,conscientious
senxur,censure
senz,essence
sep,swipe
seprad,sap (tree)
seqkxam,sanction
sesis,sass
setar,satire
setas,cetacea
setiq,setting
setras,citrus
seval,civil
sevor,savor
sevors,sever
sfir,sphere
siCan,page
siCig,seethe
sibuk,complication
sidas,insidious
sidik,astringent
sidjan,obsidian
sifnik,symphony
sig,front
sigrat,swig
sigroC,cigarette
sik,seek
sikad,cicada
sikent,subsequent
sikfant,sycophant
sikuv,refusal
sil,more (-er)
silab,garment
siladj,bush
silak,select
silan,seal (connect)
silants,science
sileC,seal
silek,torn
siliq,ceiling
silit,silhouette
siltan,silt
silut,nightmare
simaq,seem
simbos,symbiosis
simlar,similar
simlat,assimilate
simplaks,simplex
simten,simultaenous
simtot,asymptote
simun,indicate
sinc,synthetic
sincsaz,synthesize
sindj,singe
sindrom,syndrome
sinet,insinuate
sinor,senior
sintgrat,disintegrate
sipan,sip
sipar,sweep
sipran,seep
sipras,cypress
siptat,precipitate
sipun,deck
sipur,tale
siqk,sink (down)
siqket,syncopate
siqkxap,sink
siral,cereal
siren,axle
sirkrab,circumscribe
sirkut,circuit
sirkvent,circumvent
siroz,sear
sirtun,carcinogenesis
sirup,syrup
sirut,rent
sisak,sex
sisen,easy-going
sisim,fraction
sistanz,persistence
sistor,sister
sistraC,cyst
sisuk,conflict
sit,medium
sitar,city
sitark,sweater
sitir,slack
sitxet,situate
sivam,service
sivar,hypothesis
six,all encompasing thing
sixet,satiate
sizal,sizzle
sizan,season (period)
sizol,fringe
skabut,scab
skafad,scoff
skal,scale
skaldman,scald
skalk,skulk
skalod,scowl
skalp,sculpt
skalpxor,sculpture
skamok,scum (muck)
skamp,swamp
skampur,scamper
skandur,squander
skanit,scan
skap,skip
skars,scarce
skateg,squat
skatul,scuttle
skavindj,scavenge
skelar,scalar (math)
sketar,skate
skil,skill
skilin,squeal
skiniq,ski
skint,squint
skitraj,skit
skitx,switch
sklamat,sham
skoCun,opinion
skor,score
skoral,squirrel
skoriq,scurry
skorn,scorn
skortxak,scorch
skral,scrawl
skrandj,scrounge
skrap,scrap
skratx,scratch
skrep,scrape
skriCar,slither
skriblaq,scribble
skrimat,scream
skrin,screen (display)
skritx,screech
skriz,squeeze
skrol,scroll
skrotam,scrotum
skrunip,screw
skrutnaz,scrutinize
skrutnik,scrutiny
skul,school
skup,scoop
skur,scare
skurdan,sciuridae (squirrel)
slabrat,slab
slad,slide
sladal,swaddle
slagat,boast
slagor,swagger
slagrut,slog
slamd,salamander
slant,slant
slap,slop
slapmac,slap
slaraz,slur
slasiz,slice
slator,slaughter
slaxiz,slosh
sleCiq,slay
sledat,sled
slekuv,consecutive
slents,silence
sleprin,slip
slet,slight
sletoC,slate
slind,cylinder
slindar,slender
slip,sleep
sliqaj,sling
slisan,pardon
slix,wish
slog,slug
slorm,swarm
slorp,slurp
slotx,slouch
slunap,slew
slunik,swoon
slup,swoop
slur,my
smaCur,smother
smadj,smudge
smagon,smug
smal,small
smaldan,smilodon
smark,smirk
smart,smart
smatik,smite
smegol,smuggle
smidjan,smidgin
smil,smell
smilt,mile
smitin,reminiscient
smuCig,smooth
smul,smile
snabet,snob
snagit,snug
snagol,snuggle
snakig,snack
snapon,snipe
snar,snare (drum)
snariq,snare (trap)
snarl,snarl
snatat,pierce
snatras,snot
snatxuC,snatch
snif,sniff
snikor,snicker
snirin,sneer
sniriq,sneer
snoblag,snub
snogat,snag
snorag,snore
snort,snort
snufil,snuff
sobstants,substance
sodak,soda
sok,around/surround
sokur,soak
solan,swollen
soldjar,soldier
solsit,solicit
som,drug
sonam,soy
sop,so/transition
soran,sour
sorm,some
sornmes,sun month
sorsis,exorcise
sortfan,certify
sortx,search
sotxat,gleam
soxal,social
soz,also
spafan,specify
spak,spike
spaltoq,spout
spamrat,spam
spanak,spy
spand,spend
spandj,sponge (animal)
spaniq,spawn
spansor,sponsor
spaqgot,spa
spardan,rivalry
spark,spark
sparnik,spurn
sparot,spar
spas,spice
spastan,coherent
spatol,spot
spatur,spatter
spekatx,speck
spektak,spectacle
spekul,speckle
spidrat,speed
spik,speak
spilax,spill
spinatx,spinach
spirad,spearhead
spiran,spear
spirud,contest
spisis,species
splador,splatter
spland,splendor
splasiq,splice
splatur,splutter
splax,splash
splintur,splinter
split,split
spolag,spoil
spral,spiral
spralok,sprawl
sprant,sprint
sprat,sprout
spratiq,spry
spred,spread
sprenar,sprain
spriq,spring (tool)
spriz,react
spuran,spur
spurat,throb
spurm,sperm
spurtiq,spurt
srand,surround
srandor,surrender
srilas,sale
sriz,series
srotas,current (river)
stab,stab
stabol,stubble
staf,stuff
stafol,stifle
stagur,stagger
stakip,stocky (build)
stakiq,stalk
stalc,stealth
stambam,rigid
stamor,stammer
stampoC,stamp
stampot,stump (tree)
stanat,reverberate
stand,stand
standsur,stand out
stanev,send off
staniq,stunning
stanix,astonish
stapal,pomegranite
starak,stare
stardol,startle
stark,stark
startap,stereotype
starv,starve
stat,stat
stator,stationary
statxur,stature
stavar,steady
staxig,stash
stedj,stage (action)
stek,mistake
stelan,stale
steman,stem
stevat,stave
stexon,station
stiCur,truncate
stil,still (motion)
stilaq,still
stimpot,stump (baffle)
stipik,steep
stiplet,stipulate
stiqiv,sting
stiqk,stink
stiral,sterile
stirat,stability
stok,stomach
stolik,stoic
stolnak,stow
stom,install
stomat,stomata
stomp,stomp
stork,story
storm,storm
stradak,stride
stradul,straddle
stramik,strum
strand,strand
strap,strap
straq,strong
strasaz,ostracize
strat,strict
stratal,strut
strax,stretch
strejar,stranger
streq,stray
streqgal,strangle
stretan,straigten (reverse)
strimlan,streamline
strindjant,stringent
strip,stripe
striq,string
strol,stroll
struk,strike
strup,strip
stuCul,coefficient
stublat,stub (toe)
stulatx,stew
suC,three
suCal,weld
suCiq,sooth
sub,I
sublat,sublet
subsdaz,subsidize
sudjil,stochastic
sudon,somewhat (pseudo-)
sugam,convenient
sukort,sue
sukxman,keen
sul,still (time)
suliq,sew
sulsin,trivial
sumpxam,assumption
sumran,sum (addition)
sunan,blank
sundar,charming
sunit,neat
suplant,supplant
supmaz,supervise
sur,assert
surdjin,surgery
surfas,face (surface)
surget,surrogate
surklet,circulate
surmaz,surmise
surpaz,surpass
survant,servant
survav,survive
susad,suicide
sut,store
sutas,soot
suxav,dear
suzuk,bass (fish)
svadan,flavor
svaduq,grape/berry
svagam,welcome
svardat,relish
svas,sigh
sviCam,roast
svik,knife
svivon,spinning top
svur,very
taCar,apologize
tabic,gazelle
tabil,spice (action)
tablet,tabulate
tad,tail
tadjrib,experiment
tafkid,duty
tagal,toggle
tagen,fry
tagid,corporation
taglor,tug
tagmul,compensation
tagnaz,antagonize
taguv,comment
taj,down (to be cool with something)
tak,talk
takan,tack
takdjip,talk over
taket,tact
takin,correct
takir,investigate
takit,aim
taknol,technology
takol,tackle
takon,octopus
takrim,respect (object)
takrit,incident
takxat,chisel
takziv,budget
tal,tell
talaq,talent
talgim,dodge
taliC,spell (charm)
talin,tally
talon,towel
talor,tire (car)
taltxon,tout
taluk,chin
talxin,defiant
tam,meditate
taman,price
tamar,date (fruit)
tamkits,incentive
tamlal,transcribe
tamlil,lyrics
tamnet,contaminate
tamoltx,tumultuous
tampan,tampon
tampor,tamper
tamrets,stimulate
tanal,tunnel
tanbig,transduction
tandanz,tendency
tanit,tiny
tanlum,turbulent
tanmin,sweet (emotion)
tansor,tensor
tantij,taunt
tantiq,snoop
tants,tense
tantum,wire
tantxeq,candid
tanub,fir (tree)
tanxan,attention
tanxiq,elastic
tanzen,naive
tanzik,blanket
tapem,coordinate (action)
tapik,topic
taprak,apple
tapstriq,tapestry
taq,tongue
taqgop,adopt
tar,tire (sleep)
tarad,cod (fish)
tarbol,terrible
tard,towards
tardig,tardigrada
tardim,hibernation
tardjak,interject
tardjan,tear (paper)
tardus,thrush (bird)
taret,tolerate
targat,interrogate
targil,exercise
targum,translation
tarkam,speculation
tarkiz,concentrate
tarlig,twirl
tarn,10^39
taror,terror
tarpan,satisfy
tarpen,tarp
tarsak,intersect
tarspus,intersperse
tartir,rumble
tartuq,tart
tarxim,sketch
tas,test
tasaj,toss
tasal,tassel
tasik,lake
tasim,delineate
tasit,tacit
taskil,frustrate
tasman,testament
tasmin,symptom
tat,sibling
tatir,develop
tatol,tattle
tator,totter
tatul,tattoo
tatx,touch
tavrup,sanitation
tavut,tuck
teCur,tether
tedjat,sharp
tef,left
tefir,stitch
tegak,dare
tek,take
tekan,standard
tekes,ceremony
teknev,take off
teknik,technique
tekriq,take care of
telfon,phone
telom,abyss
telorn,tailor
telun,rail (track)
tempon,tempo
tempur,temper
ten,tan (color)
tenant,tenant
tendas,tend (to tend to)
tentor,taint
tenxal,potential
teport,teleport
tepur,taper
teqgol,tangle
teqket,tank (do bad)
teqtoq,ache
tesal,tessellation
tesan,fig
teslan,tesla (measurement)
tesrak,tesseract
testvan,testify
tet,signal
tetar,tatter
tetrex,tetration
tetxal,spade
tetxiq,livid
tic,fourteen
tidas,tedious
tiftuf,trickle
tigris,tiger
tikal,tickle
tikol,tweak
tiktak,tick (sound)
tilat,twilight
tim,team
timad,timid
timdat,intimidate
timiq,teem
tin,between
tinat,twin
tindjor,tinge
tinedj,teenager
tinmat,tin
tintec,tint
tip,step
tiprat,tip
tiptol,tiptoe
tipun,case (law)
tiq,mental experience
tiqkal,twinkle
tir,TRUE
tiraf,prey
tirant,tyrrany
tirat,deteriorate
tiraz,tear (cry)
tirdan,bother
tiriq,tea
tirn,tour
tirok,slam
tiron,noob
titrat,titration
titx,teach
titxum,pose (question)
titxun,quit
tiv,conscious
tix,tingle
tiz,ellipse
tizor,tease
tkidran,slit
tkslit,rodentia
tofif,tap
tok,structure
toks,easy
tolat,toilet
tolpal,bid
toltarn,totalitarian
ton,agent (one who does x)
tonar,tow
toqkut,anguish
toqlaq,flux
toqtxiq,sympathy
toqxin,correspond
tor,before
torkit,torque
tormnet,terminate
torn,turn
tornev,turn off
tornrik,turn up
torntaj,turn down
tornvun,turn on
torpid,torpedo
torson,torso
tortug,turtle
tortxus,tortuous
torxan,torsion
tos,task
tostod,toast (action)
total,total
tox,text
toz,position (cardinal)
trabol,trouble
trad,west
tradik,contradict
tradj,trudge
tradjak,trajectory
trak,track (path)
traktor,tractor
tramap,trauma
trambon,trombone
trandj,fin
trankot,trunk (tree)
transan,transcend
transpar,transpire
trants,trance
trantx,tarnish
tranz,transform
tranzfiks,transfix
tranzlet,translate
tranzmut,transmute
trap,trap
trapzad,trapezoid
traqmat,uncountably large
trasiq,truss
trast,trust
tratul,trot
traval,travel
traxkan,trash
tredic,tread
trekat,trek
trelan,trail
treqkal,tranquil
trespas,trespass
tret,trait
trigald,trigger
trik,trick
triket,extricate
trikut,intricate
trilampf,triumph
trilol,trial
tripor,trip (fall)
tris,interest
tritex,treat
tritik,treaty
trodus,introduce
troklant,truculent
trospak,introspect
trusiC,truce
tub,tube
tuc,emotion
tucnev,set off
tucrik,set up
tudjem,schematic
tudoq,nudge
tufan,tuff (rock)
tugak,ivory
tuksul,flinch
tuktuk,caribou
tukvak,moose
tul,tool
tup,impure
tuq,type
tur,turf
turdzat,turd
turfir,interfere
turmon,term (language)
turnir,competition
tusik,plover (bird)
tuv,input (computing)
tux,intuition
txabeq,differential
txabit,chub
txadan,menu
txadiv,chide
txagut,chug
txakal,chuckle
txakin,chuck
txaklet,chocolate
txakras,check in
txaksur,check out
txalal,material
txalat,traverse
txalbak,chill
txaloq,admit
txalum,tide
txalxik,soggy
txanaq,prospect
txanbol,propagate
txandal,outcast
txandan,dismal
txanik,migrate
txanmes,moon month
txansul,huddle
txant,chant
txantep,future
txantim,premise
txantoq,legacy
txants,chance
txanuk,confess
txanxin,gasp
txanzal,precursor
txaptor,chapter
txaqan,reimburse
txaqbek,pale
txaqnat,hangover
txaqxol,longevity
txardj,charge (electricity)
txarkum,char
txarm,item
txarmiq,charm
txarnak,churn
txarpit,chop
txart,chart
txarten,chert
txartor,charter
txastin,chastity
txatxal,tribute
txaz,100
txebal,reassure
txedan,defect
txedik,thorough
txefak,deficient
txekut,garage
txembor,chamber
txenmen,dreary
txenxuk,statement
txeq,q sound
txeqnul,commit
txes,chase
txesan,chasten
txesul,mastermind
txibit,pungent
txidal,equator
txidjup,lasting
txifug,undulate
txigam,strange
txigar,odd
txikan,chicken
txikar,shrill
txilor,minor
txiluk,strategy
txilun,gear
txilxaq,kind (pleasant)
txin,teen
txinfan,diligent
txintoq,bronze
txipur,chipper
txiqal,jiggle
txiqbal,innocent
txiqek,mild
txiqfun,frivolity
txiqk,tick (step)
txir,cheer
txirak,cherry
txiral,moreover
txiraqk,frail
txirik,cheer up
txirul,flimsy
txisop,climate
txitak,cheat
txixam,charity
txixib,bias
txizit,resign
txodat,incite
txolul,excellence
txonil,seat
txonmiq,clever
txoqul,pet
txoqxik,substantiate
txotxim,reek
txubal,rowdy
txubek,reserve
txudal,channel
txudet,acquire
txudiq,ascertain
txudjum,pursue
txufin,differentiate
txugan,supervisor
txul,actual
txulik,dispose
txulok,flood
txulup,rude
txumik,spring (water)
txun,sneeze
txunil,originality
txunsol,mellow
txunzip,skirt
txuqzat,bit (small amount)
txurnam,powder
txurpan,chirp
txusan,perspire
txusim,trend
txusuk,retrieve
txut,chew
txuz,choose
vab,vibe
vagron,vine
vaket,evacuate
vakiq,vie
vakrin,crooked
vaksin,vaccine
valax,embarrass
valbal,confuse
valdet,validate
valeb,available
valet,evaluate
valid,valid
valim,valley
valit,domesticate
valnas,venus
valol,vial
valtir,volunteer
valtov,vault
valum,volume (math)
vampir,vampire
vanal,vinyl
vandlaz,vandalize
vanir,veneer
vantaj,advantage
vapret,evaporate
vaqk,cow
varam,circumference
varat,variety
vardat,elevate
vardik,verdict
varik,greet
varin,vary
varit,ward (off)
varm,vomit
varnix,varnish
vartxun,virtue
varxon,variation
varz,forest
vas,aspect
vasad,vice
vasan,breadth
vasklar,vascular
vasox,stir
vastav,genuine
vasum,wealth
vat,body
vatar,descent
vatlaz,revitalize
vatzir,reinforce
vavex,vivacious
vazir,disperse
vazor,visor
veb,byte
vedj,vegetable
vegin,vague
vek,filter
vekex,vacation
vektar,vector (math)
velants,valence
veliq,veil
venas,vein
venip,vane
venret,venerate
vental,eventual
ventaz,vent
ventxar,adventure
ventxur,venture
venuk,venue
vepaq,interface (computing)
vepor,vapor
vestan,vest (let sit)
vetig,vet
viCak,supplement
vidjan,young
vidjtet,vegetate
vigor,vigor
vikat,dread
vikram,pace
vil,manifest
viladj,village
vim,way/style
vimal,transparent
vin,fill (-full)
vindkat,vindicate
vinkak,lemming
vip,six
vipak,fact
vir,remote (far)
viralm,overwhelm
virtaks,vertex
visret,vociferate
vistrap,vest (clothing)
vit,information
vitog,veto
vivad,vivid
vivar,viverridae
vlam,its
vod,void
vog,black
vogun,vogue
vokad,avocado
volaC,misery
voldor,folder
volgar,vulgar
volkan,volcano
voltxar,vulture
vorak,bee
vorbal,verbal
vord,avoid
vorex,voracious
vorjan,version
vortak,vortex
vortaz,advertise
vorx,vowel o sound
vorxol,virtual
vosas,versus
vraj,average
vramat,stop
vranan,sore
vrant,vibrant
vritx,spider
vruft,bracket
vrun,ocean
vucrik,catch up
vul,via
vulol,mingle
vulpes,fox
vuq,data
vurf,verify
vuxim,genitals
waCan,shore
waCsul,bay
wabol,wobble
wadal,waddle
wadjiz,wedge
wadrun,wad
wagin,wag
wak,walk
wakar,revere
waksan,wax
wakxaq,extrovert
wal,while
walan,wall
walet,wallet
walid,bring forth
waloq,wallow
waltal,coat
waltzan,waltz
wan,why
wanak,whine
wanal,stoop
wandor,wonder
wantin,teen
wanun,dusk
wanzeq,intact
wapaz,wipe
waq,um
waqgoq,staff
waqgul,stubborn
waqpal,trump
war,wear
warbol,warble
wariq,whir
wark,work
warksur,work out
warkus,oak
warp,vowel large A sound
warpot,warp
wartiq,warranty
wartx,watt (measurement)
warx,worship
wasaf,depict
wasol,whistle
wat,white
watx,watch
waxin,sardine
wazim,sock (foot)
weCar,weather
webar,weber (measurement)
webrat,web
wedal,tang
wedjar,wager
wedjim,wage
wedjip,critical
wedjun,hypocrite
wedrag,wade
wek,week
wekand,wack
wekim,wake
welig,weigh
weliq,wail
wenak,wane
wenrol,tender
wenxun,meek
wenzoq,sedate
weskar,whisker
westit,waste
wet,wait
wetland,wetland
wevac,waive
wevar,waver
wiCar,wither
wicold,withhold
wicral,withdraw
wicstand,withstand
widc,width
widjet,widget
widor,weed
wifan,iff
wig,kaleidoscope
wikzaq,disguise
wildur,bewilder
wilon,willow
wiltant,wilt
wimpur,whimper
wimul,whim
winaf,wean
winar,win
windol,window
winim,ween
wintar,winter
wints,wince
wipik,weep
wipraz,cry
wiqkis,wink
wird,weird
wis,inverse
wiskac,whisk
wispur,whisper
wital,whittle
witin,witty
witnes,witness
witx,w sound
wixak,scarf
wizal,weasel
woCran,whether
wolban,buddy
wom,well (good)
wonuk,snail
wor,forceful (like hard hit)
woraq,wary
worc,worth
worint,warrant
woriq,worry
wormrik,warm up
wornuc,warn
wugan,extraneous
wum,swim
wundun,wound
wurlig,whirl
wurm,worm
wutxam,lunch
wutxuk,vapid
xabat,rest
xabic,cling
xabitz,assign
xadik,pair
xadiq,shoddy
xadist,shroud
xadon,shadow
xadrig,upgrade
xadur,shudder
xagat,shrug
xagin,shag
xagrir,envoy
xakim,rehabilitate
xakit,salmon
xakran,wheel
xakzir,restore
xal,share
xalaq,jot
xalav,phase
xaliv,inspire
xalom,welfare
xalren,villain
xalxam,lily
xaman,shaman
xambol,shamble
xampen,champagne
xanip,shine
xanlaq,hearty
xant,ancient
xapetz,renovate
xapord,shepherd
xaprat,shop
xaqdal,anticipate
xaqfaq,counterpart
xaqzaq,twiddle
xarab,wine
xarm,10^21
xarotz,infest
xasal,kid
xaskur,ask out
xat,or
xator,shutter
xatxuk,sag
xavas,fame
xaviv,flash
xavol,shovel
xax,eternal
xed,should
xedar,shed
xekan,shake
xelan,shale
xepol,shape
xeviz,shave
xic,eye
xicam,sheath
xid,grey
xidaq,appropriate (behavior)
xigur,launch
xik,computation
xikdam,chic
xikvan,level
xild,shield
xilek,deem
ximak,shim
ximor,shimmer
ximp,shrimp (fish)
ximun,oil
ximz,happy
xinaq,shank/shin (leg)
xinip,sheen
xipur,improve
xireq,shear
xirut,cohesion (physics)
xistok,schist
xit,provide
xitan,urine
xivav,chip (like computing)
xivral,shrivel
xixam,student
xixuk,sparse
xkidaq,persevere
xkilaq,consider
xlafliq,schläfli
xlav,calculate
xlegal,schlegel
xlik,shriek
xlikut,mission
xlum,mushroom
xninan,wit
xofar,horn (instrument)
xok,copy
xol,show
xoldal,receipt
xolgoq,handmade
xolrik,show up
xolxip,punctual
xopsak,dashing
xoval,spade (shovel)
xoviq,shove
xoxaq,hurt
xoxon,sell
xredat,shred
xriqk,shrink
xubor,shatter
xubtuk,slump
xudjan,trim
xufol,shuffle
xufun,fix
xul,subtract
xulof,extract
xulrul,debilitate
xum,sky
xuman,fat
xun,change
xunlan,drill (training)
xunrax,shoe
xuntat,shun
xup,ship
xupiq,horizontal
xusak,fling
xut,shout
xutxik,shame
xutxuq,export
xuv,return
yaCnak,dwindle
yabiq,import
yacam,kneel
yad,away
yakid,designate
yakir,darling
yalid,native
yalpic,yelp
yanlin,stern
yanmon,inundate
yanuk,smog
yanxip,maneuver
yanxuf,owl
yanxun,perpetuate
yanzoq,severe
yapad,destination
yaqkut,infancy
yarek,thigh
yarit,intercept
yariv,opponent
yarn,y sound
yarnet,yarn
yasir,arrogant
yat,way
yatir,obsolete
yatxat,sustain
yatzig,represent
yaxas,worthy
yaxav,sit
yedjan,nocturnal
yeduq,peruse
yelip,appointment
yeluk,amateur
yem,yum (food)
yenux,despair
yeqkoC,yank
yesud,praise
yetor,hypotenuse
yetzir,instinct
yev,sort
yexin,ambition
yikal,depend
yilal,treat (patient)
yild,yield
yiliq,collar
yinan,murky
yinoq,application
yiqaq,nutritious
yiqban,strain (force)
yiqful,cope
yiqk,vowel large I sound
yiqral,linger
yisud,founding
yit,night
yitur,chord
yixeq,doctor
yixik,faintly
yixiv,session
yog,practice of focusing on x (-ism)
yoldan,merit
yolul,hesitant
yolur,superior
yolxiq,tangible
yolxur,outstanding
yoqol,retain
york,10^2
yorm,uniform (consistent)
yorn,yearn
yornas,uranus
yosaf,increase
yovak,consequence
yoxam,priority
yoxav,inhabitant
yuCap,nag
yubik,ubiquitous
yucam,heap
yuciq,youth
yudiq,schedule
yudjip,estimate
yudoq,sport
yudum,noxious
yugman,even
yujal,usual
yukan,yucca
yuklid,euclidean
yul,polynomial
yulaz,utilize
yulkal,pleasant
yunat,unite
yundoq,campaign
yunif,unify
yunik,unique
yunit,unit
yunoq,wield
yurnat,urinate
yusorp,usurp
yut,yet
yuvlan,uvula
yuxaq,bruise
yuzrik,use up
zab,public
zadjim,acrobat
zak,effect
zakar,masculine
zakgal,lousy
zaklan,beard
zakuf,erect
zakut,privilege
zalb,fermion
zalot,grill
zalret,exhilarate
zalx,toe
zalzek,marsh (land)
zamar,prune (fruit)
zamin,examine
